name of area,region
Bishan,central
Bukit Merah,central
Geylang,central
Kallang,central
Marine Parade,central
Queenstown,central
Southern Islands (except Sentosa),central
Toa Payoh,central
Marina Bay,central
Marina Centre,central
Raffles Place,central
 Tanjong Pagar,central
Outram,central
Sentosa,central
Rochor,central
Orchard,central
Newton,central
River Valley,central
Bukit Timah,central
Holland Road,central
Tanglin,central
Novena,central
Thomson,central
Central Water Catchment,north
Lim Chu Kang,north
Mandai,north
Sembawang,north
Simpang,north
Sungei Kadut,north
Woodlands,north
Yishun,north
Ang Mo Kio,north east
Hougang,north east
North-Eastern Islands,north east
Punggol,north east
Seletar,north east
Sengkang,north east
Serangoon,north east
Bedok,east
Changi,east
Changi Bay,east
Paya Lebar,east
Pasir Ris,east
Tampines,east
Bukit Batok,west
Bukit Panjang,west
Boon Lay,west
Choa Chu Kang,west
Clementi,west
Jurong East,west
Jurong West,west
Tengah,west
Tuas,west
Western Islands,west
Western Water Catchment,west
Benoi,west
Ghim Moh,west
Gul,west
Pandan Gardens,west
Jurong Island,west
Kent Ridge,west
Nanyang,west
Pioneer,west
Pasir Laba,west
Teban Gardens,west
Toh Tuck,west
Tuas South,west
West Coast,west
